ano,link,paragrafos_resgatados
2012,http://www1.folha.uol.com.br/opiniao/1110470-tendenciasdebates-os-donos-do-largo-de-sao-francisco.shtml,[]
2012,http://www1.folha.uol.com.br/ilustrada/1108217-mais-objetiva-e-austera-photoespana-discute-local-e-global.shtml,[]
2012,http://www1.folha.uol.com.br/mundo/1107508-policia-francesa-liberta-refens-e-prende-sequestrador.shtml,[]
2012,http://www1.folha.uol.com.br/mundo/1103007-psicologo-compara-atirador-da-noruega-a-hannibal-lecter.shtml,[]
2012,http://www1.folha.uol.com.br/mundo/1102939-atirador-da-noruega-e-penalmente-responsavel-por-ataques.shtml,[]
2012,http://www1.folha.uol.com.br/bbc/1100949-riscos-da-maconha-sao-subestimados-dizem-especialistas.shtml,[]
2012,http://www1.folha.uol.com.br/bbc/1098266-policia-investiga-causas-do-ataque-do-canibal-de-miami.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1088915-homem-mata-mae-e-morre-ao-se-jogar-do-3-andar-do-predio-em-sp.shtml,[]
2012,http://www1.folha.uol.com.br/bbc/1087258-laboratorio-farmaceutico-tera-de-pagar-us-16-bi-por-anuncio-enganoso-nos-eua.shtml,[]
2012,http://www1.folha.uol.com.br/equilibrioesaude/1084267-estimulacao-magnetica-cerebral-tem-aval-do-cfm.shtml,[]
2012,http://www1.folha.uol.com.br/cotidiano/1083516-homem-mata-pai-e-fere-a-mae-com-um-tiro-em-guara-df.shtml,[]
2012,http://www1.folha.uol.com.br/bbc/1082304-caso-breivik-revela-incompreensao-da-loucura-diz-psiquiatra.shtml,[]
2012,http://www1.folha.uol.com.br/mundo/1076605-atirador-da-noruega-se-declara-inocente-em-julgamento.shtml,[]
2012,http://www1.folha.uol.com.br/mundo/1076596-comeca-julgamento-de-maniaco-da-noruega.shtml,[]
